Date, Name, Minutes, Seconds, Distance,Pace, Unit, Feel, Notes, Cross Train Type, Calulate Pace, Field 1, Field 2
2009-05-25,Iron mountain (from my house),60,0,8,07:30,miles,4,,,1,,
2009-05-18,Cross Train (bike),0,0,65,0,miles,,,bike,0,,
2009-05-08,_,49,0,6.5,07:32,miles,3,,,1,,
2009-05-09,_,57,0,7.6,07:30,miles,3,,,1,,
2009-05-14,Rich man\'s,30,0,4,07:30,miles,3,,,1,,
2009-05-15,Cross Train (bike),0,0,61,0,miles,,,bike,0,,
2009-05-16,Cross Train (bike),0,0,22,0,miles,,,bike,0,,
2009-05-19,Cross Train (bike),0,0,68,0,miles,,,bike,0,,
2009-05-21,Augmented Rich Man\'s,34,0,4.5,07:33,miles,3,,,1,,
2009-05-22,"Bat man, Secret Run, High Bridge",48,0,6.4,07:30,miles,3,,,1,,
2009-05-23,Iron Mountain from my house,60,0,8,07:30,miles,3,,,1,,
2009-05-26,"Iron Mountain to Lake Oswego, Rich Man\'",60,0,8,07:30,miles,4,,,1,,
2009-05-27,Rich Man\'s,30,0,4,07:30,miles,5,,,1,,
2009-05-28,"Iron Mountain, Cedar Trail, South Campus",60,0,8,07:30,miles,4,,,1,,
2009-05-29,Iowa backwards,53,0,6.7,07:54,miles,3,,,1,,
2009-05-30,"My House, Neil Weare, Cedar Trail, Natur",56,0,7.5,07:28,miles,4,,,1,,
2009-05-31,"From my house, around Lake Oswego, back",75,0,10,07:30,miles,5,,,1,,
2009-06-01,"Neil Weare, Cedar Trail, South Campus",60,0,8,07:30,miles,4,,,1,,
2009-06-02,"Iowa, Secret Run, Nature Center",75,0,10,07:30,miles,3,,,1,,
2009-06-03,Rich Man\'s,40,0,4.3,09:18,miles,4,,,1,,
2009-06-04,Hawthorne,85,0,12.4,06:51,miles,5,http://www.gmap-pedometer.com/?r=2888220,,1,,
2009-06-05,Rich man\'s,40,0,5,08:00,miles,4,,,1,,
2009-06-06,"Iron Mountain, Cedar Trail, Nature Cente",60,0,8.6,06:58,miles,4,,,1,,
2009-06-07,Seven Bridges Road,111,0,14.4,07:42,miles,3,,,1,,
2009-06-08,Iowa Backwards + 1.6 miles on track,60,0,8.4,07:08,miles,4,,,1,,
2009-06-09,Seven Bridges Road,97,0,14.4,06:44,miles,5,,,1,,
2009-06-11,Deschutes River Trail (Bend),91,0,12,07:35,miles,4,,,1,,
2009-06-12,Bill Healy Bridge (Bend),42,0,5.7,07:22,miles,3,,,1,,
2009-06-13,Cross Train (bike),154,0,40.5,03:48,miles,,,bike,0,,
2009-06-14,Iowa (sort of),48,0,6.2,07:44,miles,3,http://www.gmap-pedometer.com/?r=2917024,,1,,
2009-06-15,"Secret Run, Nature Center, South Campus",60,33,8.07,07:30,miles,4,,,1,,
2009-06-16,Attempt at Hawthorne,75,0,9.9,07:34,miles,2,,,1,,
2009-06-18,Hawthorne,90,0,13,06:55,miles,3,,,1,152,166
2009-06-20,Westmoreland,60,0,8.6,06:58,miles,5,http://www.gmap-pedometer.com/?r=2934876,,1,,
2009-06-10,Pool run,30,0,4,07:30,miles,5,Pool running has one-to-one equivalence with regular running.,,1,,
2009-06-17,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-06-19,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-05-26,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-05-28,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-02,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-03,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-05,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-09,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-10,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-17,Cross Train (bike),0,0,,,miles,,,bike,0,,
2009-06-19,Cross Train (bike),0,0,,,miles,,,bike,0,,
2009-06-21,Seven Bridges Road,120,0,17.3,06:56,miles,5,,,1,,
2009-06-22,"Iron Mountain, Cedar Trail, 4th Avenue",60,0,8.26,07:15,miles,4,,,1,145,157
2009-06-23,Seven Bridges Road,105,0,15.25,06:53,miles,5,,,1,153,165
2009-06-24,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-06-24,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-25,Lake Oswego (South Shore Blvd),105,0,15.24,06:53,miles,5,http://www.gmap-pedometer.com/?r=2950374,,1,166,154
2009-06-26,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-06-27,Hawthorne + Rich Man\'s,135,0,19.22,07:01,miles,5,http://www.gmap-pedometer.com/?r=2954438,,1,156,173
2009-06-26,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-06-28,Wandered around downtown,72,0,8.28,08:41,miles,5,,,1,,
2009-06-29,From my house to Lake O and back,59,0,8.39,07:01,miles,4,,,1,152,167
2009-06-30,Lake O,116,0,15.58,07:26,miles,3,,,1,,
2009-07-01,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-07-01,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-02,Every trail in Tryon,105,0,15,07:00,miles,4,,,1,154,169
2009-07-03,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-07-03,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-04,Iron Mountain (from my house),60,0,8.18,07:20,miles,4,,,1,155,170
2009-07-06,Lake O,75,0,10,07:30,miles,3,,,1,,
2009-07-07,_,30,0,4,07:30,miles,3,,,1,143,152
2009-07-08,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-07-09,South Shore,97,0,13.17,07:21,miles,4,http://www.gmap-pedometer.com/?r=2974067,,1,152,165
2009-07-10,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-07-10,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-11,Iowa + Rich Man\'s,75,0,10.28,07:17,miles,4,http://www.gmap-pedometer.com/?r=2995863,,1,158,176
2009-07-08,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-12,Seven Bridges + Rich Man\'s,150,0,20.49,07:19,miles,4,,,1,153,168
2009-07-13,Nature Center,31,0,4,07:45,miles,4,,,1,140,157
2009-07-14,Farm Country,126,0,17.29,07:17,miles,3,http://www.gmap-pedometer.com/?r=2974077,,1,153,164
2009-07-15,Pool run,40,0,5.33,07:30,miles,5,,,1,,
2009-07-16,Pool run,65,0,8.8,07:23,miles,3,,,1,,
2009-07-17,Iron Mountain,44,0,6,07:20,miles,4,,,1,150,167
2009-07-18,Cross Train (bike),379,0,103,03:40,miles,,http://www.mapmyride.com/route/us/or/portland/622126146421783880,bike,0,,
2009-07-20,Iowa + other stuff,75,0,10,07:30,miles,4,,,1,149,175
2009-07-21,Seven Bridges Road (and change),120,0,17,07:03,miles,5,http://www.gmap-pedometer.com/?r=2974053,,1,147,161
2009-07-22,Pool run,40,0,5.33,07:30,miles,5,,,1,140,147
2009-07-22,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-23,South Shore,104,0,14.91,06:58,miles,5,http://www.gmap-pedometer.com/?r=2974067,,1,157,179
2009-07-24,Pool run,40,0,5.33,07:30,miles,5,,,1,142,158
2009-07-24,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-25,Iowa + other stuff,76,0,9.78,07:46,miles,5,http://www.gmap-pedometer.com/?r=3038041,,1,152,168
2009-07-26,Seven Bridges + Rich Man\'s,138,0,19.89,06:56,miles,5,,,1,152,162
2009-07-28,Hidden Springs,123,0,16.15,07:36,miles,5,http://www.gmap-pedometer.com/?r=3045394,,1,152,170
2009-07-29,Pool run,24,0,3.2,07:30,miles,5,,,1,138,142
2009-07-29,Cross Train (weights),0,0,,,miles,,,weights,0,,
2009-07-30,Seven Bridges Road,106,0,14.11,07:30,miles,4,http://www.gmap-pedometer.com/?r=2974053,,1,146,160
2009-07-31,Iron Mountain,58,0,8,07:15,miles,5,,,1,159,177
2009-08-01,Tryon,74,0,9.87,07:29,miles,3,,,1,,
2009-08-03,Pool run,12,0,1.6,07:30,miles,3,,,1,,
2009-08-04,Tryon,37,0,5,07:24,miles,3,,,1,,
